Id,Data Types and Structures,Arithmetic Operations,Programming Language Fundamentals,Class and Functions,Variables,Comparison,Boolean Operation,Boolean Operations,Loops,Conditions
S002,0.8333333333333334,0.8571428571428571,0.8,0.8888888888888888,0.8571428571428571,0.6666666666666666,1.0,1.0,0.0,0.0
S011,0.8461538461538461,0.7659574468085106,0.9032258064516129,0.9024390243902439,0.7586206896551724,0.8125,1.0,0.75,0.5,1.0
S014,0.9230769230769231,0.75,0.9375,0.9615384615384616,0.9230769230769231,1.0,0.0,0.0,0.0,0.0
S020,0.8333333333333334,0.8333333333333334,0.8,0.967741935483871,0.7894736842105263,0.6666666666666666,0.0,0.0,0.0,0.0
S023,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0
S034,0.6666666666666666,0.5714285714285714,0.4,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.5,0.0,0.0
S045,0.7647058823529411,0.6785714285714286,0.8260869565217391,0.9642857142857143,0.75,0.75,0.0,0.0,0.0,0.0
S049,1.0,0.8571428571428571,0.9375,1.0,0.9230769230769231,1.0,0.0,0.0,0.0,0.0
S053,0.7777777777777778,0.7833333333333333,0.8837209302325582,0.9464285714285714,0.7906976744186046,0.7692307692307693,1.0,0.75,0.8333333333333334,1.0
S054,0.8181818181818182,0.6428571428571429,0.875,0.9166666666666666,0.75,0.6666666666666666,0.0,0.0,0.0,1.0
S057,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
S058,0.9090909090909091,0.8333333333333334,0.9333333333333333,0.9565217391304348,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
S062,0.8,0.3333333333333333,0.6153846153846154,0.8095238095238095,0.4166666666666667,0.0,0.0,0.0,0.0,0.0
S065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S072,0.8888888888888888,0.7560975609756098,0.9032258064516129,0.8780487804878049,0.8888888888888888,0.7857142857142857,1.0,0.6666666666666666,1.0,1.0
S074,1.0,1.0,0.8571428571428571,0.8571428571428571,0.75,0.0,0.0,0.0,0.0,0.0
S082,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S085,1.0,0.9583333333333334,1.0,0.9545454545454546,1.0,0.0,0.0,0.0,0.0,0.0
S089,0.55,0.5384615384615384,0.4166666666666667,0.7272727272727273,0.3,0.6,0.0,0.0,0.0,0.0
S107,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
S110,0.8888888888888888,0.875,0.8333333333333334,0.9,0.875,0.0,0.0,0.0,0.0,0.0
S112,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S117,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0
S127,0.7894736842105263,0.8275862068965517,0.7142857142857143,0.8387096774193549,0.75,0.7272727272727273,1.0,0.6666666666666666,1.0,1.0
S132,0.7272727272727273,0.7948717948717948,0.8888888888888888,0.9428571428571428,0.8181818181818182,0.8571428571428571,1.0,0.5,0.0,0.0
S139,0.8333333333333334,1.0,0.8,0.9,0.75,0.0,0.0,0.0,1.0,1.0
